name,num_qubits,width,depth,num_cnot,num_t,num_2qbit,num_3qbit
twolocalrandom_indep_qiskit_66.qasm,66,132,266,6435,0,6435,0
realamprandom_indep_qiskit_120.qasm,120,240,482,21420,0,21420,0
qpeexact_indep_qiskit_5.qasm,5,9,14,0,0,12,0
ghz_indep_qiskit_116.qasm,116,232,117,115,0,115,0
qpeexact_indep_qiskit_42.qasm,42,83,125,0,0,881,0
su2random_indep_qiskit_42.qasm,42,84,170,2583,0,2583,0
su2random_indep_qiskit_4.qasm,4,8,18,18,0,18,0
random_indep_qiskit_116.qasm,116,232,1533,8426,419,15678,926
ae_indep_qiskit_12.qasm,12,24,66,22,0,77,0
graphstate_indep_qiskit_26.qasm,26,52,8,0,0,26,0
wstate_indep_qiskit_30.qasm,30,60,61,29,0,58,0
qpeinexact_indep_qiskit_118.qasm,118,235,353,0,0,6961,0
portfoliovqe_indep_qiskit_17.qasm,17,34,70,0,0,408,0
ghz_indep_qiskit_78.qasm,78,156,79,77,0,77,0
ghz_indep_qiskit_97.qasm,97,194,98,96,0,96,0
twolocalrandom_indep_qiskit_31.qasm,31,62,126,1395,0,1395,0
qftentangled_indep_qiskit_50.qasm,50,100,103,49,0,1299,0
qwalk-noancilla_indep_qiskit_7.qasm,7,14,1508,750,0,1368,6
qpeinexact_indep_qiskit_64.qasm,64,127,191,0,0,2047,0
qft_indep_qiskit_76.qasm,76,228,153,0,0,2888,0
realamprandom_indep_qiskit_67.qasm,67,134,270,6633,0,6633,0
random_indep_qiskit_76.qasm,76,152,957,3591,165,6657,416
ae_indep_qiskit_122.qasm,122,244,726,242,0,7502,0
ae_indep_qiskit_69.qasm,69,138,408,136,0,2414,0
ae_indep_qiskit_86.qasm,86,172,510,170,0,3740,0
qpeexact_indep_qiskit_39.qasm,39,77,116,0,0,760,0
qft_indep_qiskit_99.qasm,99,297,199,0,0,4900,0
su2random_indep_qiskit_39.qasm,39,78,158,2223,0,2223,0
realamprandom_indep_qiskit_88.qasm,88,176,354,11484,0,11484,0
random_indep_qiskit_99.qasm,99,198,1321,6180,296,11377,657
groundstate_medium_indep_qiskit_12.qasm,12,24,37,0,0,132,0
wstate_indep_qiskit_128.qasm,128,256,257,127,0,254,0
dj_indep_qiskit_26.qasm,26,51,28,25,0,25,0
ae_indep_qiskit_8.qasm,8,16,42,14,0,35,0
qnn_indep_qiskit_51.qasm,51,102,505,5150,0,5150,0
qftentangled_indep_qiskit_128.qasm,128,256,259,127,0,8319,0
su2random_indep_qiskit_124.qasm,124,248,498,22878,0,22878,0
dj_indep_qiskit_127.qasm,127,253,129,126,0,126,0
qpeexact_indep_qiskit_81.qasm,81,161,242,0,0,3280,0
realamprandom_indep_qiskit_30.qasm,30,60,122,1305,0,1305,0
random_indep_qiskit_21.qasm,21,42,220,254,16,469,29
qpeinexact_indep_qiskit_33.qasm,33,65,98,0,0,544,0
qft_indep_qiskit_21.qasm,21,63,43,0,0,220,0
su2random_indep_qiskit_81.qasm,81,162,326,9720,0,9720,0
dj_indep_qiskit_71.qasm,71,141,73,70,0,70,0
ghz_indep_qiskit_54.qasm,54,108,55,53,0,53,0
twolocalrandom_indep_qiskit_112.qasm,112,224,450,18648,0,18648,0
qftentangled_indep_qiskit_11.qasm,11,22,25,10,0,70,0
su2random_indep_qiskit_97.qasm,97,194,390,13968,0,13968,0
qft_indep_qiskit_37.qasm,37,111,75,0,0,684,0
qpeinexact_indep_qiskit_25.qasm,25,49,74,0,0,312,0
random_indep_qiskit_37.qasm,37,74,411,802,49,1485,113
realamprandom_indep_qiskit_26.qasm,26,52,106,975,0,975,0
qpeexact_indep_qiskit_97.qasm,97,193,290,0,0,4704,0
ae_indep_qiskit_28.qasm,28,56,162,54,0,405,0
qpeexact_indep_qiskit_78.qasm,78,155,233,0,0,3041,0
su2random_indep_qiskit_78.qasm,78,156,314,9009,0,9009,0
dj_indep_qiskit_67.qasm,67,133,69,66,0,66,0
qnn_indep_qiskit_10.qasm,10,20,95,189,0,189,0
qpeinexact_indep_qiskit_122.qasm,122,243,365,0,0,7441,0
qftentangled_indep_qiskit_6.qasm,6,12,15,5,0,23,0
twolocalrandom_indep_qiskit_104.qasm,104,208,418,16068,0,16068,0
ghz_indep_qiskit_42.qasm,42,84,43,41,0,41,0
dj_indep_qiskit_88.qasm,88,175,90,87,0,87,0
random_indep_qiskit_60.qasm,60,120,767,2259,103,4146,246
realamprandom_indep_qiskit_71.qasm,71,142,286,7455,0,7455,0
qft_indep_qiskit_60.qasm,60,180,121,0,0,1800,0
qpeinexact_indep_qiskit_72.qasm,72,143,215,0,0,2591,0
qftentangled_indep_qiskit_46.qasm,46,92,95,45,0,1103,0
qwalk-v-chain_indep_qiskit_11.qasm,11,22,164,6,0,6,150
ae_indep_qiskit_90.qasm,90,180,534,178,0,4094,0
dj_indep_qiskit_30.qasm,30,59,32,29,0,29,0
qnn_indep_qiskit_119.qasm,119,238,1185,28202,0,28202,0
groundstate_small_indep_qiskit_4.qasm,4,8,13,0,0,12,0
ghz_indep_qiskit_15.qasm,15,30,16,14,0,14,0
qnn_indep_qiskit_47.qasm,47,94,465,4370,0,4370,0
qnn_indep_qiskit_30.qasm,30,60,295,1769,0,1769,0
qpeinexact_indep_qiskit_102.qasm,102,203,305,0,0,5201,0
twolocalrandom_indep_qiskit_124.qasm,124,248,498,22878,0,22878,0
ghz_indep_qiskit_62.qasm,62,124,63,61,0,61,0
qnn_indep_qiskit_4.qasm,4,8,35,27,0,27,0
dj_indep_qiskit_47.qasm,47,93,49,46,0,46,0
qpeexact_indep_qiskit_58.qasm,58,115,173,0,0,1681,0
su2random_indep_qiskit_58.qasm,58,116,234,4959,0,4959,0
wstate_indep_qiskit_7.qasm,7,14,15,6,0,12,0
qftentangled_indep_qiskit_31.qasm,31,62,65,30,0,510,0
graphstate_indep_qiskit_3.qasm,3,6,5,0,0,3,1
qft_indep_qiskit_17.qasm,17,51,35,0,0,144,0
random_indep_qiskit_17.qasm,17,34,149,158,12,287,15
dj_indep_qiskit_111.qasm,111,221,113,110,0,110,0
twolocalrandom_indep_qiskit_93.qasm,93,186,374,12834,0,12834,0
su2random_indep_qiskit_112.qasm,112,224,450,18648,0,18648,0
ghz_indep_qiskit_35.qasm,35,70,36,34,0,34,0
qnn_indep_qiskit_67.qasm,67,134,665,8910,0,8910,0
ghz_indep_qiskit_5.qasm,5,10,6,4,0,4,0
qnn_indep_qiskit_88.qasm,88,176,875,15399,0,15399,0
dj_indep_qiskit_10.qasm,10,19,12,9,0,9,0
qftentangled_indep_qiskit_89.qasm,89,178,181,88,0,4048,0
qwalk-v-chain_indep_qiskit_31.qasm,31,62,1364,6,0,6,1350
wstate_indep_qiskit_92.qasm,92,184,185,91,0,182,0
graphstate_indep_qiskit_84.qasm,84,168,11,0,0,84,0
qft_indep_qiskit_7.qasm,7,21,15,0,0,24,0
ae_indep_qiskit_114.qasm,114,228,678,226,0,6554,0
random_indep_qiskit_40.qasm,40,80,468,986,62,1796,112
realamprandom_indep_qiskit_51.qasm,51,102,206,3825,0,3825,0
qft_indep_qiskit_40.qasm,40,120,81,0,0,800,0
qpeinexact_indep_qiskit_52.qasm,52,103,155,0,0,1351,0
qftentangled_indep_qiskit_66.qasm,66,132,135,65,0,2243,0
qnn_indep_qiskit_71.qasm,71,142,705,10010,0,10010,0
qftentangled_indep_qiskit_108.qasm,108,216,219,107,0,5939,0
ghz_indep_qiskit_23.qasm,23,46,24,22,0,22,0
su2random_indep_qiskit_104.qasm,104,208,418,16068,0,16068,0
twolocalrandom_indep_qiskit_85.qasm,85,170,342,10710,0,10710,0
qpeexact_indep_qiskit_9.qasm,9,17,24,0,0,39,0
graphstate_indep_qiskit_92.qasm,92,184,9,0,0,92,0
wstate_indep_qiskit_84.qasm,84,168,169,83,0,166,0
qpeexact_indep_qiskit_19.qasm,19,37,56,0,0,180,0
qwalk-v-chain_indep_qiskit_27.qasm,27,54,1028,6,0,6,1014
su2random_indep_qiskit_19.qasm,19,38,78,513,0,513,0
portfoliovqe_indep_qiskit_4.qasm,4,8,18,0,0,18,0
wstate_indep_qiskit_108.qasm,108,216,217,107,0,214,0
qftentangled_indep_qiskit_70.qasm,70,140,143,69,0,2519,0
qpeinexact_indep_qiskit_44.qasm,44,87,131,0,0,967,0
qft_indep_qiskit_56.qasm,56,168,113,0,0,1568,0
realamprandom_indep_qiskit_47.qasm,47,94,190,3243,0,3243,0
random_indep_qiskit_56.qasm,56,112,720,2034,102,3706,220
ae_indep_qiskit_102.qasm,102,204,606,202,0,5252,0
qaoa_indep_qiskit_12.qasm,12,24,11,0,0,24,0
ae_indep_qiskit_49.qasm,49,98,288,96,0,1224,0
qwalk-v-chain_indep_qiskit_3.qasm,3,6,20,6,0,6,7
ghz_indep_qiskit_74.qasm,74,148,75,73,0,73,0
qpeinexact_indep_qiskit_114.qasm,114,227,341,0,0,6497,0
qnn_indep_qiskit_26.qasm,26,52,255,1325,0,1325,0
dj_indep_qiskit_51.qasm,51,101,53,50,0,50,0
su2random_indep_qiskit_8.qasm,8,16,34,84,0,84,0
dj_indep_qiskit_3.qasm,3,5,5,2,0,2,1
dj_indep_qiskit_107.qasm,107,213,109,106,0,106,0
realamprandom_indep_qiskit_10.qasm,10,20,42,135,0,135,0
qpeinexact_indep_qiskit_13.qasm,13,25,38,0,0,84,0
qftentangled_indep_qiskit_27.qasm,27,54,57,26,0,390,0
twolocalrandom_indep_qiskit_46.qasm,46,92,186,3105,0,3105,0
ae_indep_qiskit_4.qasm,4,8,18,6,0,9,0
realamprandom_indep_qiskit_100.qasm,100,200,402,14850,0,14850,0
qnn_indep_qiskit_103.qasm,103,206,1025,21114,0,21114,0
random_indep_qiskit_6.qasm,6,12,34,17,2,30,1
vqe_indep_qiskit_6.qasm,6,12,11,10,0,10,0
su2random_indep_qiskit_128.qasm,128,256,514,24384,0,24384,0
qftentangled_indep_qiskit_124.qasm,124,248,251,123,0,7811,0
ae_indep_qiskit_65.qasm,65,130,384,128,0,2144,0
graphstate_indep_qiskit_51.qasm,51,102,7,0,0,51,0
wstate_indep_qiskit_47.qasm,47,94,95,46,0,92,0
portfolioqaoa_indep_qiskit_15.qasm,15,45,63,0,0,315,0
qpeinexact_indep_qiskit_68.qasm,68,135,203,0,0,2311,0
qft_indep_qiskit_120.qasm,120,360,241,0,0,7200,0
wstate_indep_qiskit_124.qasm,124,248,249,123,0,246,0
realamprandom_indep_qiskit_84.qasm,84,168,338,10458,0,10458,0
random_indep_qiskit_95.qasm,95,190,1215,5597,273,10512,569
qpeinexact_indep_qiskit_87.qasm,87,173,260,0,0,3784,0
qft_indep_qiskit_95.qasm,95,285,191,0,0,4512,0
su2random_indep_qiskit_35.qasm,35,70,142,1785,0,1785,0
qpeexact_indep_qiskit_35.qasm,35,69,104,0,0,612,0
qpeexact_indep_qiskit_107.qasm,107,213,320,0,0,5724,0
twolocalrandom_indep_qiskit_11.qasm,11,22,46,165,0,165,0
grover-v-chain_indep_qiskit_2.qasm,2,4,2,0,0,1,0
ghz_indep_qiskit_58.qasm,58,116,59,57,0,57,0
dj_indep_qiskit_92.qasm,92,183,94,91,0,91,0
graphstate_indep_qiskit_116.qasm,116,232,9,0,0,116,0
ae_indep_qiskit_32.qasm,32,64,186,62,0,527,0
wstate_indep_qiskit_10.qasm,10,20,21,9,0,18,0
qpeexact_indep_qiskit_62.qasm,62,123,185,0,0,1921,0
su2random_indep_qiskit_62.qasm,62,124,250,5673,0,5673,0
dj_indep_qiskit_84.qasm,84,167,86,83,0,83,0
twolocalrandom_indep_qiskit_108.qasm,108,216,434,17334,0,17334,0
graphstate_indep_qiskit_10.qasm,10,20,7,0,0,10,0
ae_indep_qiskit_24.qasm,24,48,138,46,0,299,0
qpeinexact_indep_qiskit_29.qasm,29,57,86,0,0,420,0
random_indep_qiskit_120.qasm,120,240,1652,9010,401,16762,1007
graphstate_indep_qiskit_100.qasm,100,200,9,0,0,100,0
su2random_indep_qiskit_74.qasm,74,148,298,8103,0,8103,0
qpeexact_indep_qiskit_74.qasm,74,147,221,0,0,2737,0
ghz_indep_qiskit_120.qasm,120,240,121,119,0,119,0
realamprandom_indep_qiskit_116.qasm,116,232,466,20010,0,20010,0
twolocalrandom_indep_qiskit_50.qasm,50,100,202,3675,0,3675,0
ghz_indep_qiskit_19.qasm,19,38,20,18,0,18,0
qnn_indep_qiskit_115.qasm,115,230,1145,26334,0,26334,0
wstate_indep_qiskit_51.qasm,51,102,103,50,0,100,0
graphstate_indep_qiskit_47.qasm,47,94,10,0,0,47,0
ae_indep_qiskit_73.qasm,73,146,432,144,0,2700,0
qpeexact_indep_qiskit_111.qasm,111,221,332,0,0,6160,0
qpeexact_indep_qiskit_23.qasm,23,45,64,0,0,262,0
su2random_indep_qiskit_23.qasm,23,46,94,759,0,759,0
qft_indep_qiskit_83.qasm,83,249,167,0,0,3444,0
qpeinexact_indep_qiskit_91.qasm,91,181,272,0,0,4140,0
random_indep_qiskit_83.qasm,83,166,1087,4345,195,8046,441
realamprandom_indep_qiskit_92.qasm,92,184,370,12558,0,12558,0
ae_indep_qiskit_72.qasm,72,144,426,142,0,2627,0
wstate_indep_qiskit_50.qasm,50,100,101,49,0,98,0
graphstate_indep_qiskit_46.qasm,46,92,11,0,0,46,0
qpeexact_indep_qiskit_110.qasm,110,219,329,0,0,6049,0
qpeexact_indep_qiskit_22.qasm,22,43,63,0,0,240,0
qpeinexact_indep_qiskit_90.qasm,90,179,269,0,0,4049,0
su2random_indep_qiskit_22.qasm,22,44,90,693,0,693,0
qft_indep_qiskit_82.qasm,82,246,165,0,0,3362,0
random_indep_qiskit_82.qasm,82,164,1103,4175,206,7626,466
realamprandom_indep_qiskit_93.qasm,93,186,374,12834,0,12834,0
realamprandom_indep_qiskit_117.qasm,117,234,470,20358,0,20358,0
twolocalrandom_indep_qiskit_51.qasm,51,102,206,3825,0,3825,0
ghz_indep_qiskit_18.qasm,18,36,19,17,0,17,0
qnn_indep_qiskit_114.qasm,114,228,1135,25877,0,25877,0
ae_indep_qiskit_25.qasm,25,50,144,48,0,324,0
graphstate_indep_qiskit_11.qasm,11,22,7,0,0,11,0
qpeinexact_indep_qiskit_28.qasm,28,55,83,0,0,391,0
random_indep_qiskit_121.qasm,121,242,1600,9141,443,16916,990
graphstate_indep_qiskit_101.qasm,101,202,11,0,0,101,0
su2random_indep_qiskit_75.qasm,75,150,302,8325,0,8325,0
qpeexact_indep_qiskit_75.qasm,75,149,224,0,0,2812,0
ghz_indep_qiskit_121.qasm,121,242,122,120,0,120,0
dj_indep_qiskit_85.qasm,85,169,87,84,0,84,0
twolocalrandom_indep_qiskit_109.qasm,109,218,438,17658,0,17658,0
graphstate_indep_qiskit_117.qasm,117,234,10,0,0,117,0
wstate_indep_qiskit_11.qasm,11,22,23,10,0,20,0
ae_indep_qiskit_33.qasm,33,66,192,64,0,560,0
grover-v-chain_indep_qiskit_15.qasm,15,30,17598,8670,0,17357,221
qpeexact_indep_qiskit_63.qasm,63,125,188,0,0,1984,0
su2random_indep_qiskit_63.qasm,63,126,254,5859,0,5859,0
pricingcall_indep_qiskit_23.qasm,23,46,4095,2096,0,2107,60
twolocalrandom_indep_qiskit_10.qasm,10,20,42,135,0,135,0
grover-v-chain_indep_qiskit_3.qasm,3,6,10,3,0,6,1
ghz_indep_qiskit_59.qasm,59,118,60,58,0,58,0
dj_indep_qiskit_93.qasm,93,185,95,92,0,92,0
pricingput_indep_qiskit_25.qasm,25,50,7435,4148,0,4160,66
graphstate_indep_qiskit_50.qasm,50,100,9,0,0,50,0
wstate_indep_qiskit_46.qasm,46,92,93,45,0,90,0
ae_indep_qiskit_64.qasm,64,128,378,126,0,2079,0
portfolioqaoa_indep_qiskit_14.qasm,14,42,59,0,0,273,0
qpeinexact_indep_qiskit_69.qasm,69,137,206,0,0,2380,0
qft_indep_qiskit_121.qasm,121,363,243,0,0,7320,0
wstate_indep_qiskit_125.qasm,125,250,251,124,0,248,0
realamprandom_indep_qiskit_85.qasm,85,170,342,10710,0,10710,0
random_indep_qiskit_94.qasm,94,188,1265,5411,257,10143,617
qft_indep_qiskit_94.qasm,94,282,189,0,0,4418,0
su2random_indep_qiskit_34.qasm,34,68,138,1683,0,1683,0
qpeinexact_indep_qiskit_86.qasm,86,171,257,0,0,3697,0
qpeexact_indep_qiskit_34.qasm,34,67,101,0,0,577,0
qpeexact_indep_qiskit_106.qasm,106,211,317,0,0,5617,0
twolocalrandom_indep_qiskit_47.qasm,47,94,190,3243,0,3243,0
ae_indep_qiskit_5.qasm,5,10,24,8,0,14,0
realamprandom_indep_qiskit_101.qasm,101,202,406,15150,0,15150,0
qnn_indep_qiskit_102.qasm,102,204,1015,20705,0,20705,0
vqe_indep_qiskit_7.qasm,7,14,12,12,0,12,0
random_indep_qiskit_7.qasm,7,14,41,28,2,43,2
su2random_indep_qiskit_129.qasm,129,258,518,24768,0,24768,0
qftentangled_indep_qiskit_125.qasm,125,250,253,124,0,7936,0
su2random_indep_qiskit_9.qasm,9,18,38,108,0,108,0
dj_indep_qiskit_2.qasm,2,3,4,1,0,2,0
dj_indep_qiskit_106.qasm,106,211,108,105,0,105,0
realamprandom_indep_qiskit_11.qasm,11,22,46,165,0,165,0
qpeinexact_indep_qiskit_12.qasm,12,23,35,0,0,71,0
qftentangled_indep_qiskit_26.qasm,26,52,55,25,0,363,0
ghz_indep_qiskit_75.qasm,75,150,76,74,0,74,0
qpeinexact_indep_qiskit_115.qasm,115,229,344,0,0,6612,0
qnn_indep_qiskit_27.qasm,27,54,265,1430,0,1430,0
dj_indep_qiskit_50.qasm,50,99,52,49,0,49,0
graphstate_indep_qiskit_93.qasm,93,186,9,0,0,93,0
wstate_indep_qiskit_85.qasm,85,170,171,84,0,168,0
qpeexact_indep_qiskit_18.qasm,18,35,51,0,0,160,0
su2random_indep_qiskit_18.qasm,18,36,74,459,0,459,0
wstate_indep_qiskit_109.qasm,109,218,219,108,0,216,0
portfoliovqe_indep_qiskit_5.qasm,5,10,22,0,0,30,0
qftentangled_indep_qiskit_71.qasm,71,142,145,70,0,2590,0
qft_indep_qiskit_57.qasm,57,171,115,0,0,1624,0
qpeinexact_indep_qiskit_45.qasm,45,89,134,0,0,1012,0
realamprandom_indep_qiskit_46.qasm,46,92,186,3105,0,3105,0
random_indep_qiskit_57.qasm,57,114,701,2046,95,3735,224
qaoa_indep_qiskit_13.qasm,13,26,10,0,0,26,0
ae_indep_qiskit_103.qasm,103,206,612,204,0,5355,0
ae_indep_qiskit_48.qasm,48,96,282,94,0,1175,0
qnn_indep_qiskit_70.qasm,70,140,695,9729,0,9729,0
qftentangled_indep_qiskit_109.qasm,109,218,221,108,0,6048,0
ghz_indep_qiskit_22.qasm,22,44,23,21,0,21,0
su2random_indep_qiskit_105.qasm,105,210,422,16380,0,16380,0
twolocalrandom_indep_qiskit_84.qasm,84,168,338,10458,0,10458,0
qpeexact_indep_qiskit_8.qasm,8,15,23,0,0,31,0
qftentangled_indep_qiskit_88.qasm,88,176,179,87,0,3959,0
wstate_indep_qiskit_93.qasm,93,186,187,92,0,184,0
graphstate_indep_qiskit_85.qasm,85,170,8,0,0,85,0
routing_indep_qiskit_2.qasm,2,4,8,3,0,4,0
ae_indep_qiskit_115.qasm,115,230,684,228,0,6669,0
qft_indep_qiskit_6.qasm,6,18,13,0,0,18,0
random_indep_qiskit_41.qasm,41,82,471,1030,60,1824,110
realamprandom_indep_qiskit_50.qasm,50,100,202,3675,0,3675,0
qpeinexact_indep_qiskit_53.qasm,53,105,158,0,0,1404,0
qft_indep_qiskit_41.qasm,41,123,83,0,0,840,0
qftentangled_indep_qiskit_67.qasm,67,134,137,66,0,2310,0
twolocalrandom_indep_qiskit_92.qasm,92,184,370,12558,0,12558,0
su2random_indep_qiskit_113.qasm,113,226,454,18984,0,18984,0
ghz_indep_qiskit_34.qasm,34,68,35,33,0,33,0
qnn_indep_qiskit_66.qasm,66,132,655,8645,0,8645,0
ghz_indep_qiskit_4.qasm,4,8,5,3,0,3,0
qnn_indep_qiskit_89.qasm,89,178,885,15752,0,15752,0
dj_indep_qiskit_11.qasm,11,21,13,10,0,10,0
qpeexact_indep_qiskit_59.qasm,59,117,176,0,0,1740,0
su2random_indep_qiskit_59.qasm,59,118,238,5133,0,5133,0
wstate_indep_qiskit_6.qasm,6,12,13,5,0,10,0
qftentangled_indep_qiskit_30.qasm,30,60,63,29,0,479,0
qft_indep_qiskit_16.qasm,16,48,33,0,0,128,0
random_indep_qiskit_16.qasm,16,32,168,144,5,304,18
dj_indep_qiskit_110.qasm,110,219,112,109,0,109,0
qnn_indep_qiskit_31.qasm,31,62,305,1890,0,1890,0
qpeinexact_indep_qiskit_103.qasm,103,205,308,0,0,5304,0
twolocalrandom_indep_qiskit_125.qasm,125,250,502,23250,0,23250,0
ghz_indep_qiskit_63.qasm,63,126,64,62,0,62,0
qnn_indep_qiskit_5.qasm,5,10,45,44,0,44,0
pricingcall_indep_qiskit_19.qasm,19,38,1139,552,0,561,48
dj_indep_qiskit_46.qasm,46,91,48,45,0,45,0
dj_indep_qiskit_31.qasm,31,61,33,30,0,30,0
qnn_indep_qiskit_118.qasm,118,236,1175,27729,0,27729,0
ghz_indep_qiskit_14.qasm,14,28,15,13,0,13,0
qnn_indep_qiskit_46.qasm,46,92,455,4185,0,4185,0
random_indep_qiskit_61.qasm,61,122,750,2221,111,4162,228
realamprandom_indep_qiskit_70.qasm,70,140,282,7245,0,7245,0
qpeinexact_indep_qiskit_73.qasm,73,145,218,0,0,2664,0
qft_indep_qiskit_61.qasm,61,183,123,0,0,1860,0
qftentangled_indep_qiskit_47.qasm,47,94,97,46,0,1150,0
ae_indep_qiskit_91.qasm,91,182,540,180,0,4185,0
dj_indep_qiskit_66.qasm,66,131,68,65,0,65,0
qnn_indep_qiskit_11.qasm,11,22,105,230,0,230,0
qpeinexact_indep_qiskit_123.qasm,123,245,368,0,0,7564,0
qftentangled_indep_qiskit_7.qasm,7,14,17,6,0,30,0
twolocalrandom_indep_qiskit_105.qasm,105,210,422,16380,0,16380,0
ghz_indep_qiskit_43.qasm,43,86,44,42,0,42,0
dj_indep_qiskit_89.qasm,89,177,91,88,0,88,0
qftentangled_indep_qiskit_10.qasm,10,20,23,9,0,59,0
qpeinexact_indep_qiskit_24.qasm,24,47,71,0,0,287,0
su2random_indep_qiskit_96.qasm,96,192,386,13680,0,13680,0
qft_indep_qiskit_36.qasm,36,108,73,0,0,648,0
random_indep_qiskit_36.qasm,36,72,438,801,35,1482,90
realamprandom_indep_qiskit_27.qasm,27,54,110,1053,0,1053,0
qpeexact_indep_qiskit_96.qasm,96,191,287,0,0,4607,0
dj_indep_qiskit_130.qasm,130,259,132,129,0,129,0
ae_indep_qiskit_29.qasm,29,58,168,56,0,434,0
qpeexact_indep_qiskit_79.qasm,79,157,236,0,0,3120,0
su2random_indep_qiskit_79.qasm,79,158,318,9243,0,9243,0
dj_indep_qiskit_70.qasm,70,139,72,69,0,69,0
ghz_indep_qiskit_55.qasm,55,110,56,54,0,54,0
twolocalrandom_indep_qiskit_113.qasm,113,226,454,18984,0,18984,0
dj_indep_qiskit_126.qasm,126,251,128,125,0,125,0
qpeexact_indep_qiskit_80.qasm,80,159,239,0,0,3199,0
realamprandom_indep_qiskit_31.qasm,31,62,126,1395,0,1395,0
random_indep_qiskit_20.qasm,20,40,211,235,14,446,22
qft_indep_qiskit_20.qasm,20,60,41,0,0,200,0
su2random_indep_qiskit_80.qasm,80,160,322,9480,0,9480,0
qpeinexact_indep_qiskit_32.qasm,32,63,95,0,0,511,0
dj_indep_qiskit_27.qasm,27,53,29,26,0,26,0
ae_indep_qiskit_9.qasm,9,18,48,16,0,44,0
qnn_indep_qiskit_50.qasm,50,100,495,4949,0,4949,0
qftentangled_indep_qiskit_129.qasm,129,258,261,128,0,8448,0
su2random_indep_qiskit_125.qasm,125,250,502,23250,0,23250,0
qftentangled_indep_qiskit_51.qasm,51,102,105,50,0,1350,0
qft_indep_qiskit_77.qasm,77,231,155,0,0,2964,0
qpeinexact_indep_qiskit_65.qasm,65,129,194,0,0,2112,0
qwalk-noancilla_indep_qiskit_6.qasm,6,12,764,378,0,618,6
realamprandom_indep_qiskit_66.qasm,66,132,266,6435,0,6435,0
random_indep_qiskit_77.qasm,77,154,979,3769,173,6869,436
ae_indep_qiskit_123.qasm,123,246,732,244,0,7625,0
ae_indep_qiskit_68.qasm,68,136,402,134,0,2345,0
ae_indep_qiskit_87.qasm,87,174,516,172,0,3827,0
